PDF ID,Mean,1σ,2σ,N. events hyp. 1,N. events hyp. 2
1,-4949.38182941978,377.939834138669,755.879668277338,1,1
2,-2727.52820547388,139.597821030003,279.195642060006,1,2
3,-1700.08536138035,465.042256372754,930.084512745509,2,1
4,250.339006341177,376.328063190665,752.656126381329,1,1
