PDF ID,Mean,1σ,2σ,N. events hyp. 1
1,-3775.44832493597,171.300542739796,342.601085479592,1
2,-2345.79862530595,183.901128748482,367.802257496964,1
3,-1745.06470279482,55.9997697737072,111.999539547414,1
4,-1410.11316808177,142.226921533257,284.453843066514,1
5,792.616488297415,65.252821192896,130.505642385792,1
6,1355.12532319081,22.7651835668064,45.5303671336128,1
