PDF ID,Mean,1σ,Q25,Q50,Q75,N. events hyp. 1,N. events hyp. 2
1,-4942.99473360765,377.074301197116,-5262.40782365485,-4951.90835283849,-4625.25712407308,1,1
2,-2733.70315859628,138.740587749242,-2852.54740112577,-2734.79615335037,-2626.51150538466,1,2
3,-1709.902848394,463.82048533513,-2111.39746143528,-1702.82700257062,-1317.01439517748,2,1
4,236.720124710938,386.005966806238,-93.3531501227558,229.248566922135,577.247665413308,1,1
